신한카드 이용대금명세서
조회기간: 2025.03.01 ~ 2026.09.01

이용일자,가맹점명,이용금액,결제수단
2025.04.02,"JETBRAINS AMERICAS INC","178,000",신한체크 1234
2026.01.01,"배달의민족","39,504",신한체크 1234
2026.01.03,"GOOGLE *YouTube Premium","14,900",신한체크 1234
2026.01.04,"카카오T","5,621",신한체크 1234
2026.01.05,"짐앤짐휘트니스","89,000",신한체크 1234
2026.01.05,"GS25","14,006",신한체크 1234
2026.01.06,"투썸플레이스","6,886",신한체크 1234
2026.01.07,"OPENAI *CHATGPT SUBSCR","29,800",신한체크 1234
2026.01.07,"카카오T","6,683",신한체크 1234
2026.01.08,"카카오T","22,802",신한체크 1234
2026.01.09,"APPLE.COM/BILL","1,100",신한체크 1234
2026.01.11,"GOOGLE *Google One","2,400",신한체크 1234
2026.01.11,"GS25","4,415",신한체크 1234
2026.01.12,"GS25","37,551",신한체크 1234
2026.01.14,"(주)넷플릭스서비시스코리아","17,000",신한체크 1234
2026.01.15,"카카오T","13,679",신한체크 1234
2026.01.16,"왓챠(주)","7,900",신한체크 1234
2026.01.16,"올리브영","37,387",신한체크 1234
2026.01.18,"(주)티빙","13,900",신한체크 1234
2026.01.18,"투썸플레이스","11,656",신한체크 1234
2026.01.20,"배달의민족","11,361",신한체크 1234
2026.01.21,"SPOTIFY P0A1B2C3","11,990",신한체크 1234
2026.01.23,"ADOBE CREATIVE CLOUD","24,000",신한체크 1234
2026.01.24,"카카오T","5,263",신한체크 1234
2026.01.26,"쿠팡(주) 와우멤버십","7,890",신한체크 1234
2026.01.27,"올리브영","26,344",신한체크 1234
2026.02.02,"이마트24","36,114",신한체크 1234
2026.02.03,"GOOGLE *YouTube Premium","14,900",신한체크 1234
2026.02.03,"카카오T","9,244",신한체크 1234
2026.02.04,"쿠팡(주)","24,412",신한체크 1234
2026.02.05,"짐앤짐휘트니스","89,000",신한체크 1234
2026.02.07,"OPENAI *CHATGPT SUBSCR","29,800",신한체크 1234
2026.02.08,"GS25","9,496",신한체크 1234
2026.02.09,"APPLE.COM/BILL","1,100",신한체크 1234
2026.02.09,"GS25","21,048",신한체크 1234
2026.02.09,"쿠팡(주)","23,487",신한체크 1234
2026.02.09,"투썸플레이스","20,238",신한체크 1234
2026.02.09,"GS25","38,319",신한체크 1234
2026.02.09,"투썸플레이스","35,689",신한체크 1234
2026.02.11,"GOOGLE *Google One","2,400",신한체크 1234
2026.02.12,"투썸플레이스","7,078",신한체크 1234
2026.02.12,"배달의민족","2,560",신한체크 1234
2026.02.13,"이마트24","8,337",신한체크 1234
2026.02.14,"(주)넷플릭스서비시스코리아","17,000",신한체크 1234
2026.02.16,"왓챠(주)","7,900",신한체크 1234
2026.02.17,"GS25","39,634",신한체크 1234
2026.02.17,"GS25","34,147",신한체크 1234
2026.02.18,"(주)티빙","13,900",신한체크 1234
2026.02.18,"올리브영","5,052",신한체크 1234
2026.02.18,"배달의민족","25,199",신한체크 1234
2026.02.19,"쿠팡(주)","32,714",신한체크 1234
2026.02.19,"쿠팡(주)","1,700",신한체크 1234
2026.02.20,"올리브영","7,572",신한체크 1234
2026.02.21,"SPOTIFY P0A1B2C3","11,990",신한체크 1234
2026.02.23,"ADOBE CREATIVE CLOUD","24,000",신한체크 1234
2026.02.24,"이마트24","3,496",신한체크 1234
2026.02.26,"쿠팡(주) 와우멤버십","7,890",신한체크 1234
2026.02.26,"스타벅스","13,445",신한체크 1234
2026.02.27,"이마트24","6,101",신한체크 1234
2026.02.27,"스타벅스","2,773",신한체크 1234
2026.03.01,"이마트24","24,106",신한체크 1234
2026.03.03,"GOOGLE *YouTube Premium","14,900",신한체크 1234
2026.03.04,"스타벅스","1,651",신한체크 1234
2026.03.05,"짐앤짐휘트니스","89,000",신한체크 1234
2026.03.07,"OPENAI *CHATGPT SUBSCR","29,800",신한체크 1234
2026.03.07,"카카오T","13,030",신한체크 1234
2026.03.09,"APPLE.COM/BILL","1,100",신한체크 1234
2026.03.11,"GOOGLE *Google One","2,400",신한체크 1234
2026.03.12,"카카오T","32,077",신한체크 1234
2026.03.13,"투썸플레이스","34,458",신한체크 1234
2026.03.14,"(주)넷플릭스서비시스코리아","17,000",신한체크 1234
2026.03.15,"이마트24","26,647",신한체크 1234
2026.03.15,"GS25","5,133",신한체크 1234
2026.03.16,"왓챠(주)","7,900",신한체크 1234
2026.03.16,"스타벅스","9,079",신한체크 1234
2026.03.17,"올리브영","31,425",신한체크 1234
2026.03.18,"(주)티빙","13,900",신한체크 1234
2026.03.18,"이마트24","28,488",신한체크 1234
2026.03.19,"배달의민족","11,753",신한체크 1234
2026.03.19,"쿠팡(주)","5,458",신한체크 1234
2026.03.21,"SPOTIFY P0A1B2C3","11,990",신한체크 1234
